ph,ph_s,wt,wt_s,ec,ec_s,status
6.01,0,22,0,1.56,0,0
11.01,1,10.24,2,0.29,2,122
5.52,0,87.06,1,1.14,2,12
5.07,2,20.01,0,0.56,2,202
6.8,1,26.5,1,1.64,0,110
5.81,0,53.06,1,5.28,1,11
5.92,0,10.71,2,0.12,2,22
5.86,0,22.35,1,9.43,1,11
0.35,2,19.26,0,1.72,0,200
5.11,2,18.75,0,7.28,1,201
7.35,1,8.76,2,3.22,1,121
0.04,2,27.06,1,1.84,0,210
0.2,2,76.34,1,0.99,2,212
4.72,2,6.35,2,2.23,0,220
5.65,0,9.35,2,6.08,1,21
6.82,1,26.5,1,1.63,0,110
5.67,0,20.93,0,0.69,2,2
3.5,2,19.1,0,2.87,1,201
9.1,1,21.13,0,2.32,0,100
6.18,0,20,0,1.48,0,0
0.2,2,21.75,0,0.75,2,202
5.52,0,18,0,2.39,0,0
5.65,0,14.96,2,0.86,2,22
6.15,0,21.51,0,0.58,2,2
5.94,0,18.88,0,8.17,1,1
6.81,1,27,1,1.63,0,110
0.87,2,61.45,1,0.21,2,212
1.14,2,69.79,1,0.09,2,212
0.14,2,76.83,1,2.43,0,210
6.73,1,27,1,2.01,0,110
13.09,1,79,1,8.16,1,111
6.79,1,26.5,1,1.71,0,110
6.81,1,26.5,1,1.72,0,110
1.76,2,19.2,0,1.88,0,200
6.11,0,50.74,1,0.7,2,12
5.56,0,19,0,1.28,0,0
6.71,1,27,1,1.95,0,110
11.1,1,13.3,2,1.16,2,122
4.37,2,3.72,2,4.33,1,221
11.03,1,60.98,1,2.67,1,111
6.77,1,26.5,1,2.04,0,110
6.79,1,21.07,0,5.67,1,101
6.77,1,26.5,1,1.71,0,110
5.5,0,1.8,2,0.92,2,22
6.83,1,27,1,1.63,0,110
4.44,2,54.62,1,0.54,2,212
6.79,1,27,1,2.04,0,110
11.67,1,31.11,1,5.41,1,111
5.57,0,21,0,2.29,0,0
6.15,0,20,0,2.4,0,0
6.08,0,57.24,1,0.82,2,12
6.77,1,26.5,1,1.62,0,110
12.88,1,0.03,2,0.36,2,122
6.68,1,3.01,2,2.16,0,120
6.81,1,27,1,1.63,0,110
5.55,0,69.95,1,4.5,1,11
2.21,2,17.47,2,2.28,0,220
11.86,1,21.81,0,1.57,0,100
5.88,0,4.02,2,0.53,2,22
7.49,1,75.15,1,0.53,2,112
4.5,2,5.73,2,2.03,0,220
5.99,0,49.69,1,3.62,1,11
13.22,1,19.21,0,6.84,1,101
5.57,0,14.17,2,0.4,2,22
2.44,2,20.58,0,9.38,1,201
5.62,0,5.13,2,1.62,0,20
6.72,1,27,1,2.01,0,110
6.83,1,26.5,1,1.63,0,110
6.06,0,16.75,2,9.26,1,21
8.83,1,9.21,2,2.17,0,120
6.75,1,26.5,1,2.05,0,110
6.8,1,26.5,1,1.63,0,110
6.85,1,26.5,1,1.63,0,110
6.84,1,27,1,1.85,0,110
3.37,2,23.76,1,1.69,0,210
5.7,0,2.5,2,3.87,1,21
6.81,1,26.5,1,1.64,0,110
5.58,0,17.64,2,3.7,1,21
6.79,1,26.5,1,1.65,0,110
3.74,2,19,0,0.42,2,202
6.8,1,26.5,1,1.64,0,110
6.81,1,27,1,1.7,0,110
6.78,1,27,1,1.89,0,110
10.85,1,94.5,1,5.91,1,111
7.9,1,1.8,2,2.22,0,120
6.09,0,96.9,1,1.7,0,10
6.79,1,27,1,1.62,0,110
5.82,0,94.64,1,1.97,0,10
5.81,0,15.3,2,1.26,0,20
5.58,0,20.37,0,3.43,1,1
9.83,1,19.11,0,0.49,2,102
5.78,0,92.51,1,1.23,0,10
2.62,2,16.45,2,1.91,0,220
10.6,1,9.79,2,4.1,1,121
11.58,1,5.52,2,3.52,1,121
5.68,0,28.81,1,1.83,0,10
5.92,0,3.26,2,7.59,1,21
6.79,1,26.5,1,1.71,0,110
6.75,1,26.5,1,1.62,0,110
6.74,1,26.5,1,2.03,0,110
1.48,2,77.07,1,4.88,1,211
2.9,2,90.09,1,1.73,0,210
6.85,1,26.5,1,1.63,0,110
6.79,1,27,1,1.89,0,110
7.02,1,70.8,1,1.04,2,112
10,1,21.3,0,2.27,0,100
4.03,2,21.95,0,0.16,2,202
12.04,1,13.87,2,8.7,1,121
7.18,1,18.63,0,0.8,2,102
