ph,ph_s,wt,wt_s,ec,ec_s
7.694,1,82,1,1.236,0
5.512,2,86,1,4.751,1
2.405,2,96,1,3.098,1
6.526,0,65,1,1.781,0
12.29,1,69,1,3.789,1
1.318,2,18,0,0.567,2
8.722,1,69,1,4.064,1
4.222,2,74,1,4.667,1
4.108,2,28,1,4.552,1
6.024,0,64,1,2.102,1
10.922,1,20,0,0.37,2
1.718,2,55,1,2.89,1
4.87,2,42,1,3.636,1
8.897,1,19,0,2.886,1
10.501,1,15,2,1.239,0
11.348,1,34,1,2.347,1
9.287,1,86,1,4.83,1
9.482,1,42,1,4.786,1
6.045,0,64,1,0.719,2
11.167,1,25,0,2.309,1
9.716,1,54,1,4.814,1
8.007,1,7,2,0.743,2
9.299,1,37,1,1.53,0
2.983,2,45,1,2.508,1
10.473,1,32,1,3.1,1
4.744,2,86,1,4.041,1
0.266,2,43,1,1.439,0
9.48,1,30,1,1.568,0
11.706,1,83,1,3.766,1
4.981,2,80,1,3.817,1
1.166,2,8,2,4.944,1
1.95,2,32,1,0.942,2
5.039,2,71,1,4.437,1
8.152,1,23,0,1.778,0
13.717,1,65,1,0.426,2
9.596,1,55,1,4.994,1
9.842,1,95,1,4.364,1
10.729,1,42,1,1.595,0
5.598,2,62,1,1.393,0
8.313,1,40,1,1.404,0
10.594,1,71,1,3.105,1
13.506,1,11,2,1.79,0
13.925,1,85,1,1.753,0
11.401,1,1,2,2.004,1
0.25,2,8,2,3.878,1
6.682,0,56,1,0.949,2
3.352,2,19,0,3.375,1
12.121,1,61,1,3.456,1
9.576,1,99,1,2.721,1
8.135,1,48,1,2.412,1
6.418,0,24,0,4.045,1
10.873,1,50,1,0.22,2
10.249,1,56,1,1.516,0
10.216,1,41,1,0.052,2
10.514,1,11,2,4.97,1
8.589,1,68,1,3.722,1
0.829,2,24,0,1.415,0
6.234,0,81,1,0.271,2
8.934,1,43,1,0.127,2
13.798,1,75,1,2.442,1
9.657,1,76,1,2.519,1
11.89,1,86,1,4.405,1
13.666,1,4,2,1.356,0
8.189,1,52,1,1.46,0
6.913,0,6,2,2.496,1
9.718,1,28,1,2.174,1
7.761,1,9,2,4.899,1
12.096,1,43,1,1.391,0
3.877,2,55,1,4.959,1
0.074,2,6,2,4.839,1
6.04,0,50,1,1.761,0
6.36,0,74,1,1.801,1
1.847,2,57,1,0.908,2
2.358,2,59,1,2.431,1
12.696,1,78,1,2.092,1
6.389,0,93,1,4.208,1
12.111,1,67,1,0.64,2
3.667,2,18,0,2.249,1
5.763,2,18,0,0.669,2
6.704,0,27,1,1.885,1
7.629,1,70,1,2.808,1
5.116,2,92,1,0.3,2
12.557,1,13,2,1.385,0
3.757,2,90,1,1.76,0
0.413,2,54,1,4.076,1
2.093,2,19,0,2.229,1
9.727,1,20,0,0.363,2
12.956,1,45,1,0.551,2
10.395,1,40,1,0.385,2
13.426,1,46,1,1.573,0
6.556,0,39,1,0.885,2
9.49,1,25,0,0.25,2
8.791,1,53,1,3.575,1
5.41,2,59,1,1.527,0
12.178,1,100,1,0.366,2
11.339,1,40,1,4.698,1
11.368,1,77,1,3.373,1
5.434,2,19,0,3.816,1
0.441,2,57,1,2.878,1
0.695,2,41,1,3.286,1
8.801,1,86,1,1.707,0
0.093,2,51,1,2.074,1
0.614,2,34,1,0.079,2
5.178,2,100,1,4.592,1
10.639,1,69,1,1.859,1
1.331,2,20,0,2.127,1
9.849,1,13,2,1.133,2
13.709,1,64,1,0.868,2
9.609,1,65,1,2.029,1
8.906,1,94,1,1.976,1
4.929,2,80,1,4.865,1
1.118,2,18,0,1.354,0
13.438,1,61,1,0.035,2
2.139,2,44,1,1.496,0
5.915,2,30,1,4.447,1
12.278,1,60,1,3.201,1
3.175,2,41,1,1.837,1
6.243,0,38,1,0.597,2
5.78,2,44,1,4.827,1
13.135,1,46,1,0.856,2
12.436,1,19,0,1.53,0
13.684,1,93,1,4.072,1
3.048,2,47,1,1.22,0
9.639,1,97,1,0.407,2
11.453,1,61,1,3.328,1
12.357,1,24,0,1.004,2
12.338,1,100,1,4.144,1
1.646,2,99,1,2.159,1
13.87,1,3,2,0.417,2
5.941,2,55,1,1.835,1
9.336,1,51,1,2.549,1
4.123,2,62,1,3.212,1
11.85,1,28,1,1.79,0
6.216,0,15,2,4.735,1
11.88,1,52,1,0.729,2
3.14,2,11,2,4.099,1
10.899,1,98,1,4.7,1
13.866,1,6,2,3.221,1
6.445,0,50,1,2.386,1
0.583,2,21,0,0.547,2
5.966,2,10,2,0.308,2
4.769,2,27,1,1.551,0
2.313,2,77,1,0.432,2
3.704,2,7,2,2.448,1
3.467,2,78,1,2.95,1
2.915,2,38,1,2.091,1
6.236,0,23,0,2.157,1
10.468,1,79,1,2.391,1
3.17,2,60,1,0.709,2
4.56,2,25,0,1.589,0
8.152,1,2,2,2.624,1
10.868,1,12,2,2.273,1
1.783,2,34,1,2.582,1
1.064,2,76,1,4.564,1
0.905,2,67,1,2.011,1
3.078,2,61,1,2.106,1
6.343,0,42,1,3.329,1
10.802,1,8,2,3.398,1
11.623,1,97,1,0.674,2
11.534,1,40,1,1.039,2
13.781,1,6,2,3.867,1
10.959,1,78,1,3.533,1
4.171,2,4,2,4.193,1
5.617,2,59,1,3.433,1
4.269,2,34,1,3.382,1
7.015,1,43,1,0.15,2
1.243,2,49,1,1.27,0
10.374,1,83,1,1.319,0
5.047,2,47,1,1.468,0
2.832,2,20,0,2.819,1
6.804,0,100,1,3.067,1
2.111,2,50,1,2.865,1
2.508,2,60,1,3.144,1
1.344,2,66,1,3.623,1
8.992,1,49,1,0.191,2
0.635,2,27,1,2.182,1
4.623,2,55,1,1.292,0
2.68,2,57,1,1.731,0
11.614,1,75,1,0.003,2
13.18,1,15,2,0.163,2
12.648,1,81,1,3.782,1
0.33,2,96,1,1.188,2
4.989,2,76,1,1.564,0
1.009,2,1,2,0.643,2
2.943,2,51,1,1.962,1
10.018,1,51,1,1,2
12.78,1,6,2,0.03,2
1.036,2,24,0,1.171,2
10.39,1,79,1,1.603,0
13.568,1,33,1,2.42,1
2.669,2,88,1,3.977,1
10.072,1,20,0,4.361,1
13.409,1,74,1,4.454,1
9.597,1,43,1,2.438,1
10.492,1,30,1,1.551,0
6.47,0,79,1,4.784,1
2.835,2,75,1,1.682,0
8.803,1,24,0,2.771,1
4.191,2,6,2,0.835,2
5.357,2,7,2,3.667,1
1.398,2,36,1,4.895,1
1.337,2,29,1,1.87,1
12.899,1,73,1,1.435,0
5.242,2,80,1,0.028,2
1.237,2,0,2,2.367,1
1.498,2,46,1,1.243,0
9.711,1,85,1,2.342,1
12.867,1,94,1,4.082,1
3.786,2,5,2,1.938,1
1.174,2,22,0,0.138,2
1.755,2,42,1,0.153,2
9.797,1,33,1,3.179,1
7.922,1,44,1,4.074,1
9.535,1,13,2,0.712,2
6.184,0,88,1,0.541,2
5.584,2,93,1,0.911,2
6.492,0,2,2,4.667,1
7.469,1,4,2,2.61,1
0.827,2,72,1,0.179,2
2.476,2,78,1,0.612,2
2.207,2,58,1,4.856,1
3.143,2,25,0,3.3,1
11.847,1,21,0,2.246,1
5.249,2,100,1,3.068,1
12.237,1,88,1,4.991,1
9.478,1,38,1,4.672,1
11.417,1,99,1,0.113,2
5.369,2,60,1,4.178,1
13.892,1,31,1,1.786,0
9.154,1,33,1,3.435,1
8.374,1,94,1,1.693,0
12.342,1,12,2,0.122,2
1.163,2,46,1,1.618,0
12.33,1,20,0,4.102,1
7.207,1,22,0,2.25,1
11.813,1,99,1,0.05,2
9.905,1,74,1,3.967,1
8.341,1,84,1,0.101,2
2.406,2,77,1,4.152,1
2.545,2,61,1,0.558,2
10.166,1,41,1,3.032,1
0.96,2,44,1,4.729,1
0.253,2,95,1,0.982,2
4.509,2,85,1,1.116,2
9.516,1,2,2,3.917,1
8.95,1,29,1,4.244,1
10.83,1,82,1,3.739,1
4.216,2,48,1,4.654,1
9.003,1,14,2,0.722,2
9.97,1,61,1,3.002,1
0.275,2,67,1,1.742,0
10.547,1,77,1,3.797,1
2.203,2,68,1,2.934,1
10.973,1,53,1,3.753,1
11.97,1,37,1,3.098,1
0.206,2,12,2,1.509,0
8.438,1,96,1,3.199,1
12.907,1,74,1,4.346,1
5.467,2,5,2,3.849,1
5.194,2,72,1,3.401,1
11.057,1,34,1,0.181,2
6.224,0,87,1,1.708,0
13.282,1,4,2,4.832,1
2.281,2,6,2,2.461,1
12.741,1,58,1,2.392,1
2.228,2,25,0,1.846,1
4.662,2,28,1,2.221,1
10.418,1,17,2,2.187,1
3.138,2,28,1,2.302,1
11.994,1,19,0,3,1
10.532,1,46,1,0.78,2
11.094,1,62,1,2.985,1
11.962,1,1,2,0.821,2
8.82,1,45,1,1.219,0
8.836,1,16,2,3.651,1
12.567,1,21,0,2.26,1
1.202,2,70,1,0.072,2
2.785,2,61,1,3.673,1
7.901,1,71,1,3.653,1
12.998,1,38,1,3.077,1
6.284,0,37,1,3.284,1
7.384,1,58,1,1.418,0
10.66,1,23,0,1.635,0
4.282,2,63,1,0.148,2
11.496,1,16,2,0.432,2
12.592,1,68,1,2.432,1
0.074,2,99,1,3.582,1
1.858,2,13,2,0.624,2
4.448,2,54,1,4.163,1
0.488,2,91,1,4.991,1
13.053,1,97,1,3.084,1
11.595,1,76,1,4.67,1
2.36,2,39,1,3.668,1
0.152,2,60,1,3.063,1
4.152,2,70,1,1.391,0
11.346,1,58,1,0.339,2
3.192,2,66,1,2.552,1
0.407,2,92,1,4.625,1
6.249,0,50,1,3.613,1
8.156,1,10,2,4.042,1
13.769,1,29,1,0.707,2
2.675,2,70,1,3.754,1
9.489,1,96,1,3.817,1
1.2,2,6,2,0.61,2
3.509,2,29,1,4.974,1
0.874,2,5,2,2.349,1
0.841,2,90,1,0.764,2
0.933,2,0,2,3.882,1
2.356,2,51,1,4.864,1
0.161,2,34,1,0.375,2
6.262,0,73,1,0.48,2
12.42,1,65,1,4.067,1
2.129,2,73,1,2.628,1
1.6,2,45,1,4.253,1
4.118,2,47,1,3.221,1
12.253,1,90,1,0.584,2
13.6,1,56,1,0.168,2
4.44,2,28,1,3.881,1
9.628,1,53,1,3.794,1
12.804,1,56,1,0.071,2
12.167,1,69,1,0.866,2
1.249,2,90,1,4.025,1
10.278,1,42,1,2.936,1
7.067,1,80,1,0.115,2
0.794,2,96,1,1.283,0
2.954,2,9,2,2.962,1
10.524,1,93,1,4.71,1
0.381,2,35,1,3.048,1
12.704,1,66,1,0.869,2
5.45,2,49,1,0.118,2
7.067,1,66,1,0.19,2
