ph,ph_s,wt,wt_s,ec,ec_s,status
8.82,1,45,1,1.219,0,110
8.295,1,29,1,4.76,1,111
4.392,2,72,1,1.51,0,210
2.261,2,40,1,3.43,1,211
4.853,2,47,1,3.544,1,211
11.304,1,85,1,2.412,1,111
8.803,1,24,0,2.771,1,101
10.66,1,23,0,1.635,0,100
7.496,1,36,1,0.24,2,112
6.377,0,22,0,1.555,0,000
13.884,1,92,1,4.387,1,111
6.833,0,79,1,4.609,1,011
9.007,1,33,1,4.843,1,111
11.534,1,40,1,1.039,2,112
1.042,2,2,2,2.61,1,221
13.18,1,15,2,0.163,2,122
6.236,0,26,0,1.543,0,000
5.512,2,86,1,4.751,1,211
6.699,0,22,0,1.318,0,000
2.42,2,88,1,0.657,2,212
4.269,2,34,1,3.382,1,211
10.278,1,42,1,2.936,1,111
11.994,1,19,0,3,1,101
10.232,1,67,1,0.184,2,112
0.074,2,77,1,1.296,0,210
11.89,1,86,1,4.405,1,111
8.741,1,45,1,4.848,1,111
1.458,2,30,1,1.675,0,210
4.744,2,86,1,4.041,1,211
10.403,1,52,1,1.944,1,111
13.963,1,77,1,1.139,2,112
0.976,2,32,1,3.639,1,211
13.976,1,86,1,3.082,1,111
5.906,2,59,1,3.633,1,211
6.248,0,10,2,2.153,1,021
12.44,1,75,1,3.507,1,111
7.544,1,78,1,4.067,1,111
6.339,0,73,1,2.112,1,011
7.629,1,70,1,2.808,1,111
5.185,2,51,1,4.592,1,211
8.655,1,95,1,4.787,1,111
1.348,2,10,2,3.505,1,221
10.953,1,0,2,1.359,0,120
11.595,1,76,1,4.67,1,111
0.074,2,99,1,3.582,1,211
8.722,1,69,1,4.064,1,111
2.454,2,26,0,1.363,0,200
1.289,2,92,1,4.906,1,211
3.954,2,8,2,4.414,1,221
5.527,2,17,2,3.891,1,221
11.321,1,2,2,0.832,2,122
9.336,1,51,1,2.549,1,111
5.966,2,10,2,0.308,2,222
1.974,2,89,1,4.196,1,211
7.174,1,92,1,2.724,1,111
9.478,1,38,1,4.672,1,111
12.352,1,32,1,1.499,0,110
6.142,0,13,2,4.559,1,021
12.019,1,67,1,1.859,1,111
11.187,1,35,1,2.934,1,111
9.727,1,20,0,0.363,2,102
5.183,2,24,0,4.94,1,201
13.77,1,87,1,4.173,1,111
4.706,2,53,1,3.635,1,211
11.9,1,4,2,1.809,1,121
7.922,1,44,1,4.074,1,111
1.858,2,13,2,0.624,2,222
12.096,1,43,1,1.391,0,110
9.609,1,65,1,2.029,1,111
9.073,1,40,1,1.964,1,111
8.51,1,84,1,0.243,2,112
2.842,2,29,1,2.88,1,211
11.417,1,99,1,0.113,2,112
4.623,2,55,1,1.292,0,210
3.444,2,79,1,2.279,1,211
6.423,0,26,0,1.621,0,000
9.628,1,53,1,3.794,1,111
6.47,0,79,1,4.784,1,011
9.794,1,2,2,4.531,1,121
10.865,1,59,1,2.273,1,111
0.447,2,27,1,3.608,1,211
3.271,2,29,1,1.954,1,211
7.122,1,36,1,2.241,1,111
2.703,2,31,1,1.417,0,210
4.304,2,95,1,3.338,1,211
8.957,1,49,1,4.609,1,111
11.962,1,1,2,0.821,2,122
0.08,2,69,1,1.087,2,212
5.496,2,7,2,0.996,2,222
12.508,1,25,0,4.253,1,101
12.653,1,100,1,4.917,1,111
12.178,1,100,1,0.366,2,112
6.365,0,0,2,4.516,1,021
13.866,1,6,2,3.221,1,121
11.811,1,61,1,3.05,1,111
12.559,1,2,2,2.67,1,121
9.329,1,8,2,0.736,2,122
3.757,2,90,1,1.76,0,210
5.24,2,61,1,1.601,0,210
3.143,2,25,0,3.3,1,201
0.918,2,39,1,0.064,2,212
8.406,1,16,2,4.23,1,121
4.455,2,71,1,4.572,1,211
4.428,2,82,1,4.305,1,211
3.146,2,96,1,3.936,1,211
